input_file,document,target_figure,what_to_capture,required,notes
4_1.png,ВКР,3.1,Экран списка поездок.,yes,
4_2.png,ВКР,3.1,Экран деталей одной поездки.,yes,
4_3.png,ВКР,3.1,Экран идей или маршрута этой поездки.,yes,
4_4.png,ВКР,3.1,Экран расходов и баланса этой поездки.,yes,
5_1.png,ВКР,3.2,Экран после успешного входа (список поездок).,yes,
5_2.png,ВКР,3.2,Экран профиля после изменения имени/фото.,yes,
6_1.png,ВКР,3.3,"Список поездок, где созданная поездка уже видна.",yes,
6_2.png,ВКР,3.3,Список участников этой поездки после присоединения второго аккаунта.,yes,
7_1.png,ВКР,3.4,Список идей с нужной идеей.,yes,
7_2.png,ВКР,3.4,Обсуждение этой идеи (комментарии).,yes,
7_3.png,ВКР,3.4,"Маршрут, где идея добавлена как активность.",yes,
8_1.png,ВКР,3.5,Экран расходов с балансом и суммами.,yes,
9_1.png,ВКР,3.6,"Офлайн-состояние: сеть отключена, действие выполнено, изменение в ожидании синхронизации.",yes,
9_2.png,ВКР,3.6,Онлайн-состояние после возврата сети: то же изменение синхронизировано.,yes,
10_1.png,ВКР,3.7,Подтверждение прохождения сценария (протокол/чек-лист).,yes,
11_1.png,ПМИ,6.1.1,Экран авторизации в момент входа через Google (кнопка входа/выбор аккаунта или завершение входа).,yes,
12_1.png,ПМИ,6.1.2,Экран списка поездок сразу после успешного входа.,yes,
13_1.png,ПМИ,6.2.1,Экран настроек профиля после сохранения нового имени.,yes,
14_1.png,ПМИ,6.2.2,Экран профиля с пустым именем и неактивной кнопкой «Сохранить».,yes,
15_1.png,ПМИ,6.2.3,Экран профиля с сообщением о сетевой ошибке при сохранении.,yes,
16_1.png,ПМИ,6.2.4,Экран входа сразу после выхода из аккаунта.,yes,
17_1.png,ПМИ,6.2.5,Экран входа после подтвержденного удаления профиля.,yes,
18_1.png,ПМИ,6.3.1,"Коллаж из 2 кадров формы поездки: 1) пустое название и неактивная кнопка сохранения; 2) календарь с неактивными недопустимыми датами.",yes,
19_1.png,ПМИ,6.3.2,"Коллаж из 2 кадров: поездка в списке после создания и экран после редактирования.",yes,
20_1.png,ПМИ,6.3.3,"Список поездок после удаления, удаленной поездки в списке нет.",yes,
24_1.png,ПМИ,6.4.1,Экран генерации приглашения с видимой ссылкой.,yes,
25_1.png,ПМИ,6.4.2,Экран второго пользователя после успешного присоединения к поездке.,yes,
26_1.png,ПМИ,6.4.3,Экран участников без дубликата после повторного присоединения по той же ссылке.,yes,
27_1.png,ПМИ,6.4.4,Экран с ошибкой при невалидной ссылке-приглашении.,yes,
28_1.png,ПМИ,6.5.1,Список/карточка идеи после редактирования (актуальные данные идеи).,yes,
29_1.png,ПМИ,6.5.2,Карточка идеи с отображенным выбранным статусом.,yes,
30_1.png,ПМИ,6.5,Экран идеи со статусом и обсуждением (комментарий виден участникам поездки).,yes,
31_1.png,ПМИ,6.6,"Экран маршрута после изменений (город выбран, порядок активностей сохранен).",yes,
32_1.png,ПМИ,6.7,Экран результата после обработки дней вне диапазона дат.,yes,
33_1.png,ПМИ,6.8,Экран расходов с балансом и статусами оплаты.,yes,
34_1.png,ПМИ,6.9,Экран погоды с прогнозом и покрытием дат либо с понятной причиной отсутствия данных.,yes,
35_1.png,ПМИ,6.10,Экран подсказок ИИ с сохраненной подсказкой.,yes,
36_1.png,ПМИ,6.11,Экран настроек уведомлений после повторного открытия (значения сохранены).,yes,
37_1.png,ПМИ,6.12,Экран интерфейса на языке системы во время проверки локализации.,yes,
38_1.png,ПМИ,6.13,Экран с сетевой/серверной ошибкой либо с неактивной кнопкой при невалидном вводе.,yes,
39_1.png,ПМИ,6.14,Экран приложения после перезапуска с доступными данными пользователя.,yes,
40_1.png,ПМИ,6.15,Экран длительной операции с видимым индикатором загрузки.,yes,
