index,final_filename,document,figure_id,asset_mode,parts_min,input_files,description,tex_file,tex_line
1,1.png,VKR,2.1,single,1,1_1.png,Ключевой поток: идея -> обсуждение -> маршрут (схема 3-5 блоков),docs/vkr/latex/chapters/chapter_2_methodology.tex,32
2,2.png,VKR,2.2,single,1,2_1.png,Обзорная архитектурная диаграмма Android client -> Backend -> PostgreSQL/интеграции,docs/vkr/latex/chapters/chapter_2_methodology.tex,42
3,3.png,VKR,2.3,single,1,3_1.png,Офлайн-сценарий: действие офлайн -> очередь -> восстановление сети -> синхронизация,docs/vkr/latex/chapters/chapter_2_methodology.tex,148
4,4.png,VKR,3.1,collage_required,4,4_1.png|4_2.png|4_3.png|4_4.png,"Набор основных экранов: список поездок, детали, идеи, маршрут, расходы",docs/vkr/latex/chapters/chapter_3_expirements.tex,6
5,5.png,VKR,3.2,collage_required,2,5_1.png|5_2.png,Экран после успешного входа + экран профиля после изменения данных,docs/vkr/latex/chapters/chapter_3_expirements.tex,39
6,6.png,VKR,3.3,collage_required,2,6_1.png|6_2.png,Создание поездки + список участников после присоединения по ссылке,docs/vkr/latex/chapters/chapter_3_expirements.tex,69
7,7.png,VKR,3.4,collage_required,3,7_1.png|7_2.png|7_3.png,Коллаж: список идей -> обсуждение -> добавление в маршрут,docs/vkr/latex/chapters/chapter_3_expirements.tex,100
8,8.png,VKR,3.5,single,1,8_1.png,"Экран расходов с итогами и долями, подтверждающий пересчет баланса",docs/vkr/latex/chapters/chapter_3_expirements.tex,128
9,9.png,VKR,3.6,collage_required,2,9_1.png|9_2.png,Коллаж: действие без сети и результат после восстановления сети,docs/vkr/latex/chapters/chapter_3_expirements.tex,177
10,10.png,VKR,3.7,single,1,10_1.png,Фрагмент протокола ручного сценария: шаги + факт выполнения,docs/vkr/latex/chapters/chapter_3_expirements.tex,240
11,11.png,PMI,6.1.1,single,1,11_1.png,Подтверждение подпункта 6.1.1: Вход через Google,docs/latex/pmi.tex,364
12,12.png,PMI,6.1.2,single,1,12_1.png,Подтверждение подпункта 6.1.2: Открытие списка поездок после входа,docs/latex/pmi.tex,370
13,13.png,PMI,6.2.1,single,1,13_1.png,Подтверждение подпункта 6.2.1: Изменение имени профиля,docs/latex/pmi.tex,377
14,14.png,PMI,6.2.2,single,1,14_1.png,Подтверждение подпункта 6.2.2: Валидация пустого имени,docs/latex/pmi.tex,383
15,15.png,PMI,6.2.3,single,1,15_1.png,Подтверждение подпункта 6.2.3: Сетевая ошибка при сохранении,docs/latex/pmi.tex,389
16,16.png,PMI,6.2.4,single,1,16_1.png,Подтверждение подпункта 6.2.4: Выход из учетной записи,docs/latex/pmi.tex,395
17,17.png,PMI,6.2.5,single,1,17_1.png,Подтверждение подпункта 6.2.5: Удаление профиля,docs/latex/pmi.tex,401
18,18.png,PMI,6.3.1,single,1,18_1.png,Подтверждение подпункта 6.3.1: Создание поездки,docs/latex/pmi.tex,408
19,19.png,PMI,6.3.2,single,1,19_1.png,Подтверждение подпункта 6.3.2: Редактирование поездки,docs/latex/pmi.tex,414
20,20.png,PMI,6.3.3,single,1,20_1.png,Подтверждение подпункта 6.3.3: Удаление поездки,docs/latex/pmi.tex,420
21,21.png,PMI,6.3.4,single,1,21_1.png,Подтверждение подпункта 6.3.4: Валидация обязательного названия,docs/latex/pmi.tex,426
22,22.png,PMI,6.3.5,single,1,22_1.png,Подтверждение подпункта 6.3.5: Валидация диапазона дат,docs/latex/pmi.tex,432
23,23.png,PMI,6.3.6,single,1,23_1.png,Подтверждение подпункта 6.3.6: Сохранение ранее созданной поездки с исходным диапазоном дат,docs/latex/pmi.tex,438
24,24.png,PMI,6.4.1,single,1,24_1.png,Подтверждение подпункта 6.4.1: Генерация ссылки-приглашения,docs/latex/pmi.tex,445
25,25.png,PMI,6.4.2,single,1,25_1.png,Подтверждение подпункта 6.4.2: Присоединение по ссылке,docs/latex/pmi.tex,453
26,26.png,PMI,6.4.3,single,1,26_1.png,Подтверждение подпункта 6.4.3: Повторное присоединение,docs/latex/pmi.tex,459
27,27.png,PMI,6.4.4,single,1,27_1.png,Подтверждение подпункта 6.4.4: Невалидная ссылка,docs/latex/pmi.tex,465
28,28.png,PMI,6.5.1,single,1,28_1.png,Подтверждение подпункта 6.5.1: Создание и редактирование идеи,docs/latex/pmi.tex,472
29,29.png,PMI,6.5.2,single,1,29_1.png,Подтверждение подпункта 6.5.2: Изменение статуса идеи,docs/latex/pmi.tex,478
30,30.png,PMI,6.5.3,single,1,30_1.png,Подтверждение подпункта 6.5.3: Добавление идеи в день маршрута,docs/latex/pmi.tex,484
31,31.png,PMI,6.5.4,single,1,31_1.png,Подтверждение подпункта 6.5.4: Комментарии к идее,docs/latex/pmi.tex,490
32,32.png,PMI,6.5.5,single,1,32_1.png,Подтверждение подпункта 6.5.5: Валидация идеи и комментария,docs/latex/pmi.tex,498
33,33.png,PMI,6.5.6,single,1,33_1.png,Подтверждение подпункта 6.5.6: Удаление идеи,docs/latex/pmi.tex,504
34,34.png,PMI,6.6.1,single,1,34_1.png,Подтверждение подпункта 6.6.1: Работа с городом дня,docs/latex/pmi.tex,512
35,35.png,PMI,6.6.2,single,1,35_1.png,Подтверждение подпункта 6.6.2: Создание и редактирование активности,docs/latex/pmi.tex,518
36,36.png,PMI,6.6.3,collage_recommended,2,36_1.png|36_2.png,Подтверждение подпункта 6.6.3: Изменение порядка активностей,docs/latex/pmi.tex,524
37,37.png,PMI,6.6.4,single,1,37_1.png,Подтверждение подпункта 6.6.4: Перенос активности между днями,docs/latex/pmi.tex,530
38,38.png,PMI,6.6.5,single,1,38_1.png,Подтверждение подпункта 6.6.5: Удаление активности,docs/latex/pmi.tex,536
39,39.png,PMI,6.6.6,single,1,39_1.png,Подтверждение подпункта 6.6.6: Валидация названия активности,docs/latex/pmi.tex,542
