index,filename,document,figure_id,section,description,asset_mode,parts_min,collage_note,tex_file,tex_line
1,1.png,VKR,2.1,2.1 Пользовательские сценарии,Ключевой поток: идея -> обсуждение -> маршрут (схема 3-5 блоков),single,1,,docs/vkr/latex/chapters/chapter_2_methodology.tex,32
2,2.png,VKR,2.2,2.2 Архитектура системы,Обзорная архитектурная диаграмма Android client -> Backend -> PostgreSQL/интеграции,single,1,,docs/vkr/latex/chapters/chapter_2_methodology.tex,42
3,3.png,VKR,2.3,2.6 Нефункциональные решения,Офлайн-сценарий: действие офлайн -> очередь -> восстановление сети -> синхронизация,single,1,,docs/vkr/latex/chapters/chapter_2_methodology.tex,148
4,4.png,VKR,3.1,3.1 Общий интерфейс,"Набор основных экранов: список поездок, детали, идеи, маршрут, расходы",collage_required,4,Нужен набор основных экранов в одном изображении.,docs/vkr/latex/chapters/chapter_3_expirements.tex,6
5,5.png,VKR,3.2,3.2 Авторизация и профиль,Экран после успешного входа + экран профиля после изменения данных,collage_required,2,Нужны два состояния: успешный вход и профиль после изменения.,docs/vkr/latex/chapters/chapter_3_expirements.tex,39
6,6.png,VKR,3.3,3.3 Поездки и участники,Создание поездки + список участников после присоединения по ссылке,collage_required,2,Нужны два состояния: создание поездки и список участников.,docs/vkr/latex/chapters/chapter_3_expirements.tex,69
7,7.png,VKR,3.4,3.4 Идеи/обсуждения/маршрут,Коллаж: список идей -> обсуждение -> добавление в маршрут,collage_required,3,Нужен сквозной коллаж: идеи -> обсуждение -> маршрут.,docs/vkr/latex/chapters/chapter_3_expirements.tex,100
8,8.png,VKR,3.5,3.5 Расходы и баланс,"Экран расходов с итогами и долями, подтверждающий пересчет баланса",single,1,,docs/vkr/latex/chapters/chapter_3_expirements.tex,128
9,9.png,VKR,3.6,3.6 Офлайн и синхронизация,Коллаж: действие без сети и результат после восстановления сети,collage_required,2,Нужны два состояния: офлайн-действие и результат после синхронизации.,docs/vkr/latex/chapters/chapter_3_expirements.tex,177
10,10.png,VKR,3.7,3.7 Проверка сценариев,Фрагмент протокола ручного сценария: шаги + факт выполнения,single,1,,docs/vkr/latex/chapters/chapter_3_expirements.tex,240
11,11.png,PMI,6.1.1,6 Методы испытаний,Подтверждение подпункта 6.1.1: Вход через Google,single,1,,docs/latex/pmi/pmi.tex,364
12,12.png,PMI,6.1.2,6 Методы испытаний,Подтверждение подпункта 6.1.2: Открытие списка поездок после входа,single,1,,docs/latex/pmi/pmi.tex,370
13,13.png,PMI,6.2.1,6 Методы испытаний,Подтверждение подпункта 6.2.1: Изменение имени профиля,single,1,,docs/latex/pmi/pmi.tex,377
14,14.png,PMI,6.2.2,6 Методы испытаний,Подтверждение подпункта 6.2.2: Валидация пустого имени,single,1,,docs/latex/pmi/pmi.tex,383
15,15.png,PMI,6.2.3,6 Методы испытаний,Подтверждение подпункта 6.2.3: Сетевая ошибка при сохранении,single,1,,docs/latex/pmi/pmi.tex,389
16,16.png,PMI,6.2.4,6 Методы испытаний,Подтверждение подпункта 6.2.4: Выход из учетной записи,single,1,,docs/latex/pmi/pmi.tex,395
17,17.png,PMI,6.2.5,6 Методы испытаний,Подтверждение подпункта 6.2.5: Удаление профиля,single,1,,docs/latex/pmi/pmi.tex,401
18,18.png,PMI,6.3.1,6 Методы испытаний,Подтверждение подпункта 6.3.1: Создание поездки,single,1,,docs/latex/pmi/pmi.tex,408
19,19.png,PMI,6.3.2,6 Методы испытаний,Подтверждение подпункта 6.3.2: Редактирование поездки,single,1,,docs/latex/pmi/pmi.tex,414
20,20.png,PMI,6.3.3,6 Методы испытаний,Подтверждение подпункта 6.3.3: Удаление поездки,single,1,,docs/latex/pmi/pmi.tex,420
21,21.png,PMI,6.3.4,6 Методы испытаний,Подтверждение подпункта 6.3.4: Валидация обязательного названия,single,1,,docs/latex/pmi/pmi.tex,426
22,22.png,PMI,6.3.5,6 Методы испытаний,Подтверждение подпункта 6.3.5: Валидация диапазона дат,single,1,,docs/latex/pmi/pmi.tex,432
